,formula,spacegroup
634,Co3B,Pnma
635,Ni2B,I4/mcm
636,Ni4B3,Pnma
637,Ni4B3,C2/c
638,Ni3B,Pnma
639,NiB,Cmcm
640,Ni23B6,Fm-3m
641,SrB6,Pm-3m
642,YB4,P4/mbm
643,YB2,P6/mmm
644,YB6,Pm-3m
645,YB12,Fm-3m
646,ZrB2,P6/mmm
647,ZrB,P6_3/mmc
648,ZrB,P-6m2
649,ZrB,Fm-3m
650,ZrB12,Fm-3m
651,ZrB6,Pm-3m
652,NbB,Cmcm
653,Nb5B6,Cmmm
654,Nb3B4,Immm
655,Nb2B3,Cmcm
656,NbB2,P6/mmm
657,Nb3B2,P4/mbm
658,BMo,I4_1/amd
659,BMo,Cmcm
660,B2Mo,R-3m
661,B2Mo3,P4/mbm
662,BMo2,I4/mcm
663,B3Mo,R-3m
664,B2Mo,P6/mmm
665,B24Mo7,P-6m2
666,B4Mo,P6/mmm
667,TcB2,P6_3/mmc
668,Tc7B3,P6_3mc
669,TcB,P-6m2
670,Tc3B,Cmcm
671,TcB,P6_3/mmc
672,TcB,Fm-3m
673,B3Ru2,P6_3/mmc
674,B2Ru,Pmmn
675,B8Ru11,Pbam
676,B3Ru7,P6_3mc
677,BRh,P6_3/mmc
678,B4Rh5,P6_3/mmc
679,B11Rh18,P1
680,B3Rh7,P6_3mc
681,BRh2,Pnma
682,BPd2,Pnnm
683,BPd3,Pnma
684,B2Pd5,C2/c
685,B3Pd16,C2/c
686,BPd6,C2/c
687,BPd5,I4/mmm
688,BaB6,Pm-3m
689,LaB4,P4/mbm
690,LaB6,Pm-3m
691,CeB4,P4/mbm
692,CeB6,Pm-3m
693,PrB4,P4/mbm
694,Pr2B5,C2/c
695,PrB6,Pm-3m
696,PrB12,Fm-3m
697,PrB3,P6_3/mmc
698,NdB4,P4/mbm
699,Nd2B5,C2/c
700,NdB6,Pm-3m
701,NdB12,Fm-3m
702,PmB3,P6_3/mmc
703,SmB4,P4/mbm
704,Sm2B5,P2_1/c
705,SmB6,Pm-3m
706,SmB2,P6/mmm
707,SmB12,Fm-3m
708,EuB6,Pm-3m
709,EuB12,Fm-3m
710,GdB4,P4/mbm
711,Gd2B5,P2_1/c
712,GdB2,P6/mmm
713,GdB6,Pm-3m
714,GdB12,Fm-3m
715,TbB4,P4/mbm
716,TbB2,P6/mmm
717,TbB6,Pm-3m
718,TbB12,Fm-3m
719,DyB4,P4/mbm
720,DyB2,P6/mmm
721,DyB6,Pm-3m
722,DyB12,Fm-3m
723,HoB2,P6/mmm
724,HoB4,P4/mbm
725,HoB6,Pm-3m
726,HoB12,Fm-3m
727,ErB2,P6/mmm
728,ErB4,P4/mbm
729,ErB6,Pm-3m
730,ErB12,Fm-3m
731,TmB2,P6/mmm
732,TmB4,P4/mbm
733,TmB6,Pm-3m
734,TmB12,Fm-3m
735,YbB4,P4/mbm
736,YbB6,Pm-3m
737,YbB2,P6/mmm
738,YbB12,Fm-3m
739,LuB2,P6/mmm
740,LuB4,P4/mbm
741,LuB6,Pm-3m
742,LuB12,Fm-3m
743,HfB2,P6/mmm
744,HfB,Fm-3m
745,HfB12,Fm-3m
746,TaB,Cmcm
747,Ta5B6,Cmmm
748,Ta3B4,Immm
749,Ta3B2,P4/mbm
750,TaB2,P6/mmm
751,Ta2B,I4/mcm
752,BW,I4_1/amd
753,BW,Cmcm
754,B2W,P6_3/mmc
755,BW2,I4/mcm
756,B2W,P6/mmm
757,ReB2,P6_3/mmc
758,Re7B3,P6_3mc
759,Re3B,Cmcm
760,B3Os2,P6_3/mmc
761,BOs,P-6m2
762,B2Os,Pmmn
763,BIr,P-6m2
764,BPt2,P6_3/mmc
765,BPt3,P6_3/mmc
766,ThB4,P4/mbm
767,ThB6,Pm-3m
768,ThB12,Fm-3m
769,PaB3,P6_3/mmc
770,UB2,P6/mmm
771,UB4,P4/mbm
772,UB12,Fm-3m
773,NpB2,P6/mmm
774,NpB4,P4/mbm
775,NpB6,Pm-3m
776,NpB12,Fm-3m
777,PuB4,P4/mbm
778,PuB12,Fm-3m
779,PuB2,P6/mmm
780,PuB6,Pm-3m
781,Al4C3,R-3m
782,KC8,Fddd
783,Sc4C3,I-43d
784,Sc2C,P-3m1
785,Sc15C19,P4/mnc
786,Sc3C4,P4/mnc
787,Sc2C3,I-43d
788,ScC,Fm-3m
789,TiC,Fm-3m
790,Ti8C5,R-3m
791,Ti3C2,P6_3/mmc
792,Ti2C,Fd-3m
793,Ti2C,R-3m
794,V6C5,P3_112
795,V8C7,P4_332
796,V2C,Pbcn
797,V2C,P-3m1
798,V4C3,R-3m
799,VC,Fm-3m
800,V4C3,R3m
801,V3C2,P-3m1
802,V2C,P6_3/mmc
803,Cr3C2,Pnma
804,Cr7C3,P6_3mc
805,Cr7C3,Pnma
806,Cr3C,Pnma
807,Cr23C6,Fm-3m
808,Cr3C2,Cmcm
809,Cr2C,P-3m1
810,CrC,P-6m2
811,Mn7C3,Pnma
812,Mn5C2,C2/c
813,Mn23C6,Fm-3m
814,RbC8,Fddd
815,SrC6,P6_3/mmc
816,Y4C5,Pbam
817,Y3C4,P4/mnc
818,Y15C19,P-42_1c
819,Y2C,R-3m
820,Y4C7,P2_1/c
821,Y2C3,I-43d
822,YC2,I4/mmm
823,ZrC,Fm-3m
824,Zr10C9,C2/c
825,ZrC,P6_3/mmc
826,ZrC,F-43m
827,Nb6C5,C2/m
828,Nb10C7,C2/m
829,Nb4C3,R-3m
830,Nb2C,Pnma
831,NbC,Fm-3m
832,Nb2C,P-3m1
833,Nb39C34,P-3m1
834,Nb4C3,R3m
835,Nb4C3,Pm-3m
836,NbC,P6_3/mmc
837,Mo2C,Pbcn
838,MoC,P-6m2
839,Mo2C,P-3m1
840,CsC8,P6/mmm
841,BaC6,P6_3/mmc
842,La2C3,I-43d
843,LaC2,I4/mmm
844,Ce2C3,I-43d
845,CeC2,I4/mmm
846,CeC,Fm-3m
847,Pr2C3,I-43d
848,PrC2,I4/mmm
849,Nd2C3,I-43d
850,NdC2,I4/mmm
851,Sm2C3,I-43d
852,Sm2C,R-3m
853,SmC2,I4/mmm
854,SmC6,P6/mmm
855,EuC6,P6_3/mmc
856,EuC2,C2/c
857,EuC2,I4/mmm
858,Gd2C,R-3m
859,Gd2C3,I-43d
860,GdC2,I4/mmm
861,Tb4C5,Pbam
